Klient;2023-11;2023-12;2024-01;2024-02;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12;2026-01;2026-02;2026-03;Suma_Miesiecy;Wrocil;Typ_Ceny;Staly_Klient;Pierwsza płatność;Ostatnia płatność;Kohorta;Grupa Kohort;Czas dostępu;Zmiana planu;Status_Sub;LTV_Total
74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;Standardowa;Nie;2023-11-27;2023-11-27;11.2023;1. Początek;Miesiąc;Stabilne;Wygasły;69,0
75;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;29;0;Standardowa;Tak;2023-11-27;2025-11-27;11.2023;1. Początek;Rok;Stabilne;Aktywny;1725,0
76;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;Standardowa;Nie;2023-11-27;2023-12-27;11.2023;1. Początek;Miesiąc;Stabilne;Wygasły;138,0
77;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;Standardowa;Nie;2023-11-27;2023-11-27;11.2023;1. Początek;Rok;Stabilne;Wygasły;690,0
78;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;Standardowa;Nie;2023-11-27;2023-12-27;11.2023;1. Początek;Miesiąc;Stabilne;Wygasły;138,0
79;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;Standardowa;Nie;2023-11-27;2024-01-27;11.2023;1. Początek;Miesiąc;Stabilne;Wygasły;207,0
80;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;29;0;Standardowa;Tak;2023-11-27;2025-11-27;11.2023;1. Początek;Rok;Stabilne;Aktywny;2070,0
81;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;18;1;Standardowa;Tak;2023-11-27;2025-05-04;11.2023;1. Początek;Miesiąc;Stabilne;Wygasły;1242,0
82;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;Standardowa;Nie;2023-11-27;2024-05-27;11.2023;1. Początek;Miesiąc;Stabilne;Wygasły;483,0
83;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;Promocyjna;Nie;2023-11-28;2023-11-28;11.2023;1. Początek;Miesiąc;Stabilne;Wygasły;79,2
